property_name,bhk,sale_price,rent_price,area_sqft,price_per_sqft,micro_market,city,source,listing_url,gross_rental_yield,source_count,affordability_index
Runwal Grandeur,3 BHK,119646968,213497,1655,70895,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/7203024,2.14,1,220.02
L&T Crown,1 BHK,35965342,101607,597,61032,Bandra,Mumbai,Housing.com,https://housing.com/buy/4489800,3.39,1,189.41
Dosti Paradise,2 BHK,35992724,88407,700,49787,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/772407,2.95,1,154.51
Mahindra Luxuria,4 BHK,228673115,514530,3451,68350,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/9678345,2.7,2,212.12
Mahindra Luxuria,4 BHK,228673115,514530,3451,68350,Bandra,Mumbai,Housing.com,https://housing.com/buy/4167418,2.7,2,212.12
Tata Exotica,2 BHK,49329630,90227,829,61412,Bandra,Mumbai,Housing.com,https://housing.com/buy/6731157,2.19,1,190.59
Piramal Premia,2 BHK,48003356,129945,738,66289,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/8991066,3.25,1,205.72
L&T Phase 3,3 BHK,66270425,111061,1288,53044,Bandra,Mumbai,99acres,https://www.99acres.com/property/7081136,2.01,1,164.62
Runwal Premia,3 BHK,95027985,171984,1556,63354,Bandra,Mumbai,Housing.com,https://housing.com/buy/8565291,2.17,1,196.61
L&T Meadows,3 BHK,101892424,241044,1565,64760,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/4144433,2.84,2,200.98
L&T Meadows,3 BHK,101892424,241044,1565,64760,Bandra,Mumbai,Housing.com,https://housing.com/buy/9927388,2.84,2,200.98
Runwal Sapphire,2 BHK,54214846,110255,1120,49488,Bandra,Mumbai,Housing.com,https://housing.com/buy/7860591,2.44,1,153.58
Runwal Residency,3 BHK,94544453,160258,1409,69412,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/6998030,2.03,1,215.41
Mahindra Premia,2 BHK,54115858,137296,904,62019,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/3084969,3.04,1,192.47
Kalpataru Lakeside,3 BHK,78756738,225956,1607,50955,Bandra,Mumbai,NoBroker,https://www.nobroker.in/property/4628432,3.44,1,158.13
L&T Habitat,4 BHK,157287974,350496,2252,68361,Bandra,Mumbai,Housing.com,https://housing.com/buy/3128970,2.67,3,212.15
L&T Habitat,4 BHK,157287974,350496,2252,68361,Bandra,Mumbai,99acres,https://www.99acres.com/property/8105740,2.67,3,212.15
L&T Habitat,4 BHK,157287974,350496,2252,68361,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/5834273,2.67,3,212.15
Piramal Meadows,2 BHK,62700978,138367,905,67795,Bandra,Mumbai,Housing.com,https://housing.com/buy/1037477,2.65,1,210.4
Hiranandani Springs,1 BHK,32406698,74022,563,60326,Bandra,Mumbai,MagicBricks,https://www.magicbricks.com/property/1788870,2.74,2,187.22
Hiranandani Springs,1 BHK,32406698,74022,563,60326,Bandra,Mumbai,Housing.com,https://housing.com/buy/3069928,2.74,2,187.22
Hiranandani Vista,3 BHK,114326995,193804,1926,58825,Bandra,Mumbai,99acres,https://www.99acres.com/property/7849077,2.03,1,182.56
